,G0100730,G0100810,G0100890,G0100970,G0101010,G0101250,G0400050,G0400130,G0400150,G0400250,G0500070,G0500510,G0501190,G0501310,G0600010,G0600370,G0600590,G0600650,G0600710,G0600730,G0600750,G0600850,G0601110,G0800310,G0800410,G0801170,G0900010,G0900030,G1000030,G1000050,G1100010,G1200310,G1200570,G1200710,G1200860,G1200950,G1200990,G1201030,G1300510,G1301210,G1301390,G1600010,G1600050,G1600170,G1600190,G1600270,G1700310,G1700430,G1701190,G1800970,G1801050,G1801630,G1900130,G1900330,G1901130,G1901530,G2000510,G2000910,G2001730,G2100670,G2101110,G2200170,G2200330,G2200710,G2300050,G2300310,G2400050,G2500170,G2500270,G2600550,G2600730,G2600810,G2601030,G2601230,G2601630,G2700350,G2700530,G2701230,G2701370,G2800470,G2800490,G2800750,G2800810,G2900210,G2900950,G2901890,G3000630,G3001110,G3100550,G3101090,G3200030,G3200050,G3200230,G3200310,G3300030,G3300090,G3300110,G3300130,G3300150,G3400030,G3400130,G3500010,G3500130,G3500350,G3500450,G3500490,G3600290,G3600610,G3600650,G3701190,G3701830,G3800150,G3800170,G3900350,G3900490,G3900610,G3900950,G3901130,G3901530,G4001090,G4001430,G4100170,G4100510,G4100670,G4200030,G4200110,G4200710,G4201010,G4400070,G4500450,G4500510,G4600990,G4601030,G4601350,G4700370,G4700650,G4700930,G4701250,G4701570,G4800290,G4801130,G4801410,G4802010,G4804390,G4804530,G4900050,G4900350,G4900430,G4900490,G4900530,G5000070,G5000270,G5100590,G5108100,G5300330,G5300630,G5400110,G5400330,G5400390,G5400610,G5400810,G5500250,G5500790,G5500850,G5600210,G5600230,G5600250
Enforced KS Stat,0.014814,0.016575,0.018172,0.008148,0.016056,0.013876,0.007857,0.004765,0.006856,0.006476,0.008338,0.009352,0.008985,0.010328,0.010721,0.005234,0.010049,0.008288,0.008085,0.013344,0.015942,0.014611,0.00555,0.011975,0.009542,0.036572,0.003827,0.002623,0.007591,0.005056,0.010201,0.016943,0.013762,0.008845,0.018312,0.01821,0.011684,0.014839,0.00972,0.01802,0.018121,0.003016,0.006628,0.003079,0.006868,0.004119,0.006514,0.005398,0.011101,0.009416,0.009428,0.011367,0.004562,0.003599,0.005905,0.004372,0.005525,0.004993,0.005487,0.010024,0.010214,0.011899,0.015232,0.010949,0.00384,0.003561,0.008934,0.003498,0.005069,0.003219,0.00389,0.004638,0.004714,0.002522,0.005956,0.004587,0.003434,0.003865,0.005056,0.007895,0.014294,0.014561,0.015992,0.004435,0.004752,0.009618,0.003206,0.004169,0.003206,0.003295,0.006577,0.013319,0.006362,0.010341,0.004169,0.005956,0.005474,0.0046,0.003092,0.005715,0.005893,0.011481,0.009378,0.005817,0.007198,0.008478,0.005082,0.005715,0.005715,0.013255,0.009922,0.00517,0.004042,0.004068,0.009454,0.008528,0.007198,0.008516,0.007008,0.007439,0.006412,0.00958,0.008567,0.00664,0.010556,0.010429,0.009998,0.00716,0.003067,0.013395,0.009162,0.004169,0.008921,0.003422,0.014231,0.019262,0.016069,0.012432,0.011874,0.013458,0.01266,0.009289,0.014193,0.012913,0.013407,0.004245,0.006273,0.007109,0.005234,0.006362,0.005956,0.004663,0.01086,0.006298,0.008364,0.005753,0.011785,0.010835,0.010328,0.012951,0.011253,0.004169,0.004499,0.004461,0.011836,0.00683,0.011063
Enforced KS P-value,5.96359e-08,7.58436e-10,9.50137e-12,0.0105492,2.89181e-09,4.98767e-07,0.0152469,0.330816,0.0487812,0.072785,0.00823687,0.00199902,0.0034031,0.000438927,0.000228499,0.229153,0.000687343,0.0088036,0.0114417,1.5653e-06,3.85731e-09,9.55108e-08,0.17511,2.41349e-05,0.00150547,2.74277e-46,0.608643,0.948195,0.0210934,0.264476,0.000539001,2.86823e-10,6.39688e-07,0.00414091,6.3596e-12,8.51857e-12,4.15977e-05,5.62007e-08,0.00114948,1.46715e-11,1.09865e-11,0.864383,0.0621895,0.847297,0.0481159,0.51369,0.0700019,0.199652,0.000118699,0.00181988,0.00178589,7.40368e-05,0.38311,0.684941,0.127081,0.436536,0.179027,0.278011,0.185031,0.000715512,0.000528104,2.78537e-05,2.21174e-08,0.000154672,0.604425,0.697606,0.0036561,0.718585,0.261828,0.807021,0.587611,0.362917,0.343421,0.962813,0.121193,0.376302,0.739332,0.596006,0.264476,0.0145428,1.96793e-07,1.07337e-07,3.3946e-09,0.418273,0.333938,0.0013419,0.810818,0.497778,0.810818,0.783755,0.0655645,1.65107e-06,0.0817039,0.000429944,0.497778,0.121193,0.187067,0.372927,0.843782,0.151273,0.128589,6.02704e-05,0.00192549,0.137947,0.0333705,0.00684518,0.259199,0.151273,0.151273,1.88578e-06,0.000839362,0.241338,0.537946,0.529812,0.00171968,0.00639479,0.0333705,0.00650478,0.0413009,0.0252649,0.0776321,0.00142149,0.00607494,0.0613694,0.000301344,0.000371742,0.000744759,0.0348402,0.850781,1.40646e-06,0.00263928,0.497778,0.00372201,0.743446,2.26974e-07,3.79422e-13,2.80036e-09,1.00207e-05,2.92106e-05,1.22969e-06,6.37782e-06,0.0021944,2.47186e-07,3.8235e-06,1.36925e-06,0.474339,0.0892625,0.0368878,0.229153,0.0817039,0.121193,0.35634,0.000180194,0.0870453,0.00796613,0.14616,3.44743e-05,0.000188189,0.000438927,3.53794e-06,9.0761e-05,0.497778,0.40046,0.411093,3.13649e-05,0.0501357,0.000126864
Enforced Daily Max MAE (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enforced Daily Max RMSE (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enforced Daily Min MAE (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enforced Daily Min RMSE (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enforced Max Hour MAE (h),1.024,1.132,1.06,1.407,1.005,1.053,1.038,0.449,0.526,0.705,0.939,0.91,0.905,0.887,0.764,0.788,0.792,0.765,0.732,1.315,1.313,0.802,1.252,0.898,1.092,1.377,1.68,1.731,1.497,1.805,1.323,1.412,1.616,1.415,2.099,1.367,2.433,1.94,1.467,1.075,1.045,0.754,0.741,0.78,0.723,0.696,1.386,1.345,1.109,1.136,1.183,1.111,1.145,1.207,1.097,1.025,0.826,0.991,0.876,1.162,1.133,0.872,1.239,1.538,2.005,1.902,1.43,1.87,1.772,1.655,1.431,1.407,1.801,1.537,1.315,1.072,1.145,1.125,1.235,1.643,1.076,1.196,1.028,1.033,0.963,1.098,0.763,0.811,1.05,1.008,0.424,1.134,0.477,0.723,1.639,1.566,1.68,1.647,1.96,1.589,1.588,0.587,0.401,0.635,0.56,0.687,1.742,1.589,1.647,1.134,1.301,1.031,1.11,1.513,1.154,1.152,1.31,1.165,1.362,0.89,0.897,0.665,0.97,0.801,1.302,1.48,1.515,1.49,1.76,1.134,1.692,1.144,1.234,1.047,1.061,1.002,1.135,1.172,1.017,0.815,0.856,0.426,1.233,0.845,0.856,0.99,1.057,1.129,0.825,0.398,1.561,1.592,1.304,1.924,0.959,0.955,1.109,1.283,1.203,1.285,1.408,1.283,1.494,1.243,1.32,1.167,0.929
Enforced Min Hour MAE (h),1.727,1.641,1.936,2.329,1.606,1.647,2.719,0.747,1.627,1.408,2.225,1.854,1.703,1.888,1.971,2.404,2.702,2.398,2.192,2.688,3.146,2.563,3.067,2.866,2.995,3.127,2.634,2.51,2.547,3.128,2.359,2.871,2.678,2.399,3.269,2.966,3.71,3.266,2.51,2.004,1.775,1.494,1.703,1.672,1.645,1.393,3.176,2.911,2.19,2.196,2.167,2.034,2.257,2.381,2.202,2.12,2.024,2.078,1.97,2.191,2.073,1.776,2.411,2.925,3.134,3.028,2.378,2.956,2.872,3.172,2.916,2.752,3.252,3.044,2.569,2.314,2.104,2.118,2.925,2.52,1.797,1.792,1.775,2.023,2.038,2.168,1.674,2.061,2.091,2.16,0.858,3.295,1.176,2.057,2.848,2.745,2.63,2.725,2.934,2.623,2.596,1.114,0.977,1.203,0.935,1.589,2.798,2.623,2.608,1.998,1.803,2.3,2.171,3.03,2.168,2.067,2.54,2.191,2.619,1.894,1.732,1.943,2.096,2.064,2.294,2.427,2.445,2.556,2.689,2.052,2.497,2.303,2.793,2.182,2.059,1.978,2.122,2.082,1.878,2.174,1.827,0.818,2.624,1.908,2.105,2.119,2.107,2.587,1.973,1.2,2.448,2.676,2.307,3.334,2.341,1.73,2.062,2.458,2.275,2.487,2.611,2.538,3.317,2.558,3.183,2.148,2.413
Enforced Acc<=1h (Max),0.769,0.736,0.755,0.651,0.772,0.757,0.719,0.904,0.882,0.792,0.777,0.78,0.79,0.783,0.795,0.763,0.78,0.763,0.787,0.679,0.696,0.818,0.668,0.782,0.729,0.676,0.611,0.608,0.647,0.599,0.683,0.677,0.6,0.679,0.496,0.659,0.479,0.536,0.658,0.736,0.755,0.818,0.852,0.809,0.856,0.827,0.679,0.693,0.733,0.743,0.732,0.744,0.734,0.71,0.744,0.755,0.811,0.758,0.801,0.737,0.731,0.796,0.702,0.639,0.556,0.583,0.648,0.574,0.58,0.639,0.687,0.675,0.594,0.665,0.693,0.756,0.726,0.73,0.715,0.582,0.755,0.722,0.769,0.755,0.767,0.742,0.8,0.807,0.749,0.75,0.919,0.741,0.889,0.847,0.62,0.633,0.614,0.629,0.557,0.606,0.614,0.873,0.923,0.857,0.876,0.835,0.598,0.606,0.608,0.714,0.661,0.759,0.736,0.661,0.738,0.735,0.686,0.733,0.705,0.803,0.787,0.849,0.801,0.826,0.698,0.638,0.633,0.645,0.6,0.71,0.614,0.726,0.732,0.757,0.754,0.758,0.725,0.727,0.771,0.803,0.798,0.903,0.69,0.796,0.8,0.803,0.774,0.745,0.808,0.917,0.629,0.623,0.693,0.579,0.82,0.774,0.736,0.679,0.712,0.693,0.655,0.698,0.661,0.721,0.71,0.727,0.796
Enforced Acc<=1h (Min),0.703,0.702,0.649,0.557,0.691,0.686,0.491,0.905,0.706,0.726,0.591,0.688,0.684,0.682,0.625,0.468,0.436,0.491,0.52,0.417,0.401,0.502,0.439,0.432,0.423,0.416,0.503,0.531,0.498,0.471,0.519,0.458,0.448,0.498,0.403,0.427,0.368,0.37,0.562,0.639,0.682,0.749,0.711,0.709,0.709,0.772,0.426,0.466,0.608,0.611,0.619,0.625,0.609,0.585,0.614,0.622,0.624,0.632,0.66,0.596,0.623,0.655,0.509,0.482,0.504,0.507,0.523,0.468,0.495,0.451,0.47,0.508,0.477,0.449,0.537,0.589,0.641,0.641,0.524,0.548,0.642,0.651,0.665,0.637,0.63,0.602,0.711,0.624,0.625,0.616,0.888,0.423,0.82,0.613,0.495,0.511,0.526,0.517,0.484,0.477,0.47,0.817,0.853,0.779,0.869,0.7,0.486,0.477,0.525,0.63,0.634,0.593,0.619,0.481,0.605,0.628,0.55,0.617,0.534,0.673,0.69,0.634,0.601,0.62,0.557,0.503,0.512,0.477,0.514,0.626,0.554,0.593,0.498,0.619,0.626,0.639,0.585,0.631,0.639,0.542,0.651,0.888,0.46,0.637,0.551,0.634,0.636,0.522,0.639,0.798,0.537,0.53,0.529,0.452,0.561,0.693,0.62,0.524,0.579,0.531,0.506,0.534,0.445,0.523,0.398,0.59,0.54
Enforced MinMax Days,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0
Enforced MinMax Scaled,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0,3288.0
Enforced MinMax Template Used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enforced MinMax Skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
